Log start on,2019-05-21 23:29:42
Feature,Gyroscope
Nodes,AM1V340 @374730, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
21/05/2019 23:29:42.974,27,AM1V340 @374730,110789,E0FF3500CEFF,-3.2,5.3,-5.0,
21/05/2019 23:29:43.031,84,AM1V340 @374730,110796,D7FFF9FF3D00,-4.1,-0.7,6.1,
21/05/2019 23:29:43.087,140,AM1V340 @374730,110802,1800E2FFA5FF,2.4,-3.0,-9.1,
21/05/2019 23:29:43.125,178,AM1V340 @374730,110808,E3FF1800FBFF,-2.9,2.4,-0.5,
21/05/2019 23:29:43.180,233,AM1V340 @374730,110814,02002700D5FF,0.2,3.9,-4.3,
21/05/2019 23:29:43.237,290,AM1V340 @374730,110821,A8FF31003D00,-8.8,4.9,6.1,
21/05/2019 23:29:43.275,328,AM1V340 @374730,110827,C6FF43000700,-5.8,6.7,0.7,
21/05/2019 23:29:43.331,384,AM1V340 @374730,110833,BEFF5700FBFF,-6.6,8.7,-0.5,
21/05/2019 23:29:43.389,442,AM1V340 @374730,110839,F4FFE9FF1900,-1.2,-2.3,2.5,
21/05/2019 23:29:43.425,478,AM1V340 @374730,110846,C5FF2E000F00,-5.9,4.6,1.5,
21/05/2019 23:29:43.481,534,AM1V340 @374730,110852,A0FF8E000900,-9.6,14.2,0.9,
21/05/2019 23:29:43.536,589,AM1V340 @374730,110858,EBFFE2FF1F00,-2.1,-3.0,3.1,
21/05/2019 23:29:43.574,627,AM1V340 @374730,110864,F2FFD7FF3A00,-1.4,-4.1,5.8,
21/05/2019 23:29:43.631,684,AM1V340 @374730,110871,E8FF1B001000,-2.4,2.7,1.6,
21/05/2019 23:29:43.689,742,AM1V340 @374730,110877,D4FF51001D00,-4.4,8.1,2.9,
21/05/2019 23:29:43.725,778,AM1V340 @374730,110883,C9FF03003D00,-5.5,0.3,6.1,
21/05/2019 23:29:43.781,834,AM1V340 @374730,110889,FCFFDDFF1700,-0.4,-3.5,2.3,
21/05/2019 23:29:43.836,889,AM1V340 @374730,110896,D7FF56000900,-4.1,8.6,0.9,
21/05/2019 23:29:43.875,928,AM1V340 @374730,110902,E9FFDDFF1100,-2.3,-3.5,1.7,
21/05/2019 23:29:43.931,984,AM1V340 @374730,110908,02001A000000,0.2,2.6,0.0,
21/05/2019 23:29:43.987,1040,AM1V340 @374730,110914,0100EBFF1B00,0.1,-2.1,2.7,
21/05/2019 23:29:44.025,1078,AM1V340 @374730,110921,F9FF19000500,-0.7,2.5,0.5,
21/05/2019 23:29:44.081,1134,AM1V340 @374730,110927,E7FF08002200,-2.5,0.8,3.4,
21/05/2019 23:29:44.138,1191,AM1V340 @374730,110933,080003001500,0.8,0.3,2.1,
21/05/2019 23:29:44.176,1229,AM1V340 @374730,110939,02000C00DDFF,0.2,1.2,-3.5,
21/05/2019 23:29:44.230,1283,AM1V340 @374730,110946,F5FFF7FF1D00,-1.1,-0.9,2.9,
21/05/2019 23:29:44.288,1341,AM1V340 @374730,110952,D2FF2E000800,-4.6,4.6,0.8,
21/05/2019 23:29:44.324,1377,AM1V340 @374730,110958,FEFF1C00C7FF,-0.2,2.8,-5.7,
21/05/2019 23:29:44.381,1434,AM1V340 @374730,110964,BDFF3C002A00,-6.7,6.0,4.2,
21/05/2019 23:29:44.438,1491,AM1V340 @374730,110971,03000400DAFF,0.3,0.4,-3.8,
21/05/2019 23:29:44.475,1528,AM1V340 @374730,110977,F7FFF2FFEEFF,-0.9,-1.4,-1.8,
21/05/2019 23:29:44.531,1584,AM1V340 @374730,110983,FDFFF0FF0000,-0.3,-1.6,0.0,
21/05/2019 23:29:44.608,1661,AM1V340 @374730,110989,DCFFF6FF3600,-3.6,-1.0,5.4,
21/05/2019 23:29:44.625,1678,AM1V340 @374730,110996,F2FF0B00F9FF,-1.4,1.1,-0.7,
21/05/2019 23:29:44.681,1734,AM1V340 @374730,111002,D0FF22001900,-4.8,3.4,2.5,
21/05/2019 23:29:44.737,1790,AM1V340 @374730,111008,E4FF2D00F9FF,-2.8,4.5,-0.7,
21/05/2019 23:29:44.775,1828,AM1V340 @374730,111014,DFFF00002800,-3.3,0.0,4.0,
21/05/2019 23:29:44.831,1884,AM1V340 @374730,111021,0700F2FF1700,0.7,-1.4,2.3,
21/05/2019 23:29:44.888,1941,AM1V340 @374730,111027,F5FFFBFF0400,-1.1,-0.5,0.4,
21/05/2019 23:29:44.924,1977,AM1V340 @374730,111033,EEFF02002600,-1.8,0.2,3.8,
21/05/2019 23:29:44.981,2034,AM1V340 @374730,111039,BAFF10003500,-7.0,1.6,5.3,
21/05/2019 23:29:45.038,2091,AM1V340 @374730,111046,04001700DAFF,0.4,2.3,-3.8,
21/05/2019 23:29:45.076,2129,AM1V340 @374730,111052,EBFF04002800,-2.1,0.4,4.0,
21/05/2019 23:29:45.131,2184,AM1V340 @374730,111058,D9FF10000300,-3.9,1.6,0.3,
21/05/2019 23:29:45.188,2241,AM1V340 @374730,111064,E9FF1100F7FF,-2.3,1.7,-0.9,
21/05/2019 23:29:45.225,2278,AM1V340 @374730,111071,EBFF02000200,-2.1,0.2,0.2,
21/05/2019 23:29:45.281,2334,AM1V340 @374730,111077,F7FF1C00FBFF,-0.9,2.8,-0.5,
21/05/2019 23:29:45.337,2390,AM1V340 @374730,111083,E9FFEEFF0600,-2.3,-1.8,0.6,
21/05/2019 23:29:45.375,2428,AM1V340 @374730,111089,F7FFE7FF1500,-0.9,-2.5,2.1,
21/05/2019 23:29:45.431,2484,AM1V340 @374730,111096,FEFF3500E2FF,-0.2,5.3,-3.0,
21/05/2019 23:29:45.487,2540,AM1V340 @374730,111102,F0FFE6FF1500,-1.6,-2.6,2.1,
21/05/2019 23:29:45.525,2578,AM1V340 @374730,111108,12001000F2FF,1.8,1.6,-1.4,
21/05/2019 23:29:45.581,2634,AM1V340 @374730,111114,ECFFF8FF1E00,-2.0,-0.8,3.0,
21/05/2019 23:29:45.637,2690,AM1V340 @374730,111121,F9FFFFFFFFFF,-0.7,-0.1,-0.1,
21/05/2019 23:29:45.677,2730,AM1V340 @374730,111127,FFFF0900F9FF,-0.1,0.9,-0.7,
21/05/2019 23:29:45.731,2784,AM1V340 @374730,111133,0000F2FF0100,0.0,-1.4,0.1,
21/05/2019 23:29:45.787,2840,AM1V340 @374730,111139,E8FFE9FF1F00,-2.4,-2.3,3.1,
21/05/2019 23:29:45.825,2878,AM1V340 @374730,111146,02000D00F5FF,0.2,1.3,-1.1,
21/05/2019 23:29:45.880,2933,AM1V340 @374730,111152,FFFF10000400,-0.1,1.6,0.4,
21/05/2019 23:29:45.937,2990,AM1V340 @374730,111158,0000DBFFFBFF,0.0,-3.7,-0.5,
