Log start on,2019-05-21 23:29:42
Feature,Magnetometer
Nodes,AM1V340 @374730, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa),
21/05/2019 23:29:42.974,27,AM1V340 @374730,110789,C3FF9300B801,-61,147,440,
21/05/2019 23:29:43.031,84,AM1V340 @374730,110796,B8FF8B00BC01,-72,139,444,
21/05/2019 23:29:43.087,140,AM1V340 @374730,110802,B8FF9200BF01,-72,146,447,
21/05/2019 23:29:43.125,178,AM1V340 @374730,110808,B4FF8300C301,-76,131,451,
21/05/2019 23:29:43.180,234,AM1V340 @374730,110814,C3FF8900C101,-61,137,449,
21/05/2019 23:29:43.237,290,AM1V340 @374730,110821,BCFF9000BF01,-68,144,447,
21/05/2019 23:29:43.275,328,AM1V340 @374730,110827,B4FF8C00B501,-76,140,437,
21/05/2019 23:29:43.331,384,AM1V340 @374730,110833,B3FF8F00B401,-77,143,436,
21/05/2019 23:29:43.389,442,AM1V340 @374730,110839,B7FF9200BB01,-73,146,443,
21/05/2019 23:29:43.424,478,AM1V340 @374730,110846,BBFF9600B901,-69,150,441,
21/05/2019 23:29:43.481,534,AM1V340 @374730,110852,B0FF9600B401,-80,150,436,
21/05/2019 23:29:43.536,589,AM1V340 @374730,110858,B1FF9000B401,-79,144,436,
21/05/2019 23:29:43.574,627,AM1V340 @374730,110864,B5FF9300B501,-75,147,437,
21/05/2019 23:29:43.631,684,AM1V340 @374730,110871,B0FF8E00B401,-80,142,436,
21/05/2019 23:29:43.689,742,AM1V340 @374730,110877,A9FF8700B501,-87,135,437,
21/05/2019 23:29:43.725,778,AM1V340 @374730,110883,A3FF9100B501,-93,145,437,
21/05/2019 23:29:43.781,834,AM1V340 @374730,110889,ACFF9300B901,-84,147,441,
21/05/2019 23:29:43.837,890,AM1V340 @374730,110896,ADFF8F00BB01,-83,143,443,
21/05/2019 23:29:43.875,928,AM1V340 @374730,110902,AAFF8F00B501,-86,143,437,
21/05/2019 23:29:43.931,984,AM1V340 @374730,110908,B1FF8C00AC01,-79,140,428,
21/05/2019 23:29:43.987,1040,AM1V340 @374730,110914,ACFF8E00B101,-84,142,433,
21/05/2019 23:29:44.025,1078,AM1V340 @374730,110921,A3FF8F00BD01,-93,143,445,
21/05/2019 23:29:44.081,1134,AM1V340 @374730,110927,ADFF9200B501,-83,146,437,
21/05/2019 23:29:44.138,1191,AM1V340 @374730,110933,ADFF9000B001,-83,144,432,
21/05/2019 23:29:44.175,1229,AM1V340 @374730,110939,ACFF9A00B101,-84,154,433,
21/05/2019 23:29:44.230,1283,AM1V340 @374730,110946,ADFF9200B001,-83,146,432,
21/05/2019 23:29:44.288,1341,AM1V340 @374730,110952,ACFF9600BB01,-84,150,443,
21/05/2019 23:29:44.324,1377,AM1V340 @374730,110958,A5FF8F00B001,-91,143,432,
21/05/2019 23:29:44.381,1434,AM1V340 @374730,110964,A9FF9700AC01,-87,151,428,
21/05/2019 23:29:44.438,1491,AM1V340 @374730,110971,ADFF8F00A501,-83,143,421,
21/05/2019 23:29:44.475,1528,AM1V340 @374730,110977,A5FF9300B701,-91,147,439,
21/05/2019 23:29:44.531,1584,AM1V340 @374730,110983,A3FF9D00AD01,-93,157,429,
21/05/2019 23:29:44.608,1661,AM1V340 @374730,110989,B1FF9200AC01,-79,146,428,
21/05/2019 23:29:44.625,1678,AM1V340 @374730,110996,ACFF8B00B001,-84,139,432,
21/05/2019 23:29:44.681,1734,AM1V340 @374730,111002,B1FF9700A201,-79,151,418,
21/05/2019 23:29:44.737,1790,AM1V340 @374730,111008,9FFF8E00A401,-97,142,420,
21/05/2019 23:29:44.775,1828,AM1V340 @374730,111014,AAFF8E00B801,-86,142,440,
21/05/2019 23:29:44.831,1884,AM1V340 @374730,111021,A9FF9900A901,-87,153,425,
21/05/2019 23:29:44.888,1941,AM1V340 @374730,111027,B0FF9200AC01,-80,146,428,
21/05/2019 23:29:44.925,1978,AM1V340 @374730,111033,A6FF9300AC01,-90,147,428,
21/05/2019 23:29:44.981,2034,AM1V340 @374730,111039,A9FF8F00B801,-87,143,440,
21/05/2019 23:29:45.038,2091,AM1V340 @374730,111046,A3FF8E00BB01,-93,142,443,
