Log start on,2019-05-26 14:48:39
Feature,Accelerometer
Nodes,AM1V340 @374730, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
26/05/2019 14:48:39.554,13,AM1V340 @374730,50515,D003F1FF6300,976,-15,99,
26/05/2019 14:48:39.611,70,AM1V340 @374730,50521,61038500C4FF,865,133,-60,
26/05/2019 14:48:39.651,110,AM1V340 @374730,50527,7D0230004800,637,48,72,
26/05/2019 14:48:39.704,163,AM1V340 @374730,50534,5602D0FF68FF,598,-48,-152,
26/05/2019 14:48:39.761,220,AM1V340 @374730,50540,B8023A00F3FF,696,58,-13,
26/05/2019 14:48:39.798,257,AM1V340 @374730,50546,6906B303D6FE,1641,947,-298,
26/05/2019 14:48:39.854,313,AM1V340 @374730,50552,0E03F1FF0701,782,-15,263,
26/05/2019 14:48:39.911,370,AM1V340 @374730,50559,F903AF00BAFF,1017,175,-70,
26/05/2019 14:48:39.948,407,AM1V340 @374730,50565,E003C0004100,992,192,65,
26/05/2019 14:48:40.005,464,AM1V340 @374730,50571,D803F8003600,984,248,54,
26/05/2019 14:48:40.062,521,AM1V340 @374730,50577,B4036501DAFF,948,357,-38,
26/05/2019 14:48:40.098,557,AM1V340 @374730,50584,C3035E01D5FF,963,350,-43,
26/05/2019 14:48:40.154,613,AM1V340 @374730,50590,E0032800F3FF,992,40,-13,
26/05/2019 14:48:40.211,670,AM1V340 @374730,50596,DD031F00CAFF,989,31,-54,
26/05/2019 14:48:40.248,707,AM1V340 @374730,50602,FC0359FF4D00,1020,-167,77,
26/05/2019 14:48:40.305,764,AM1V340 @374730,50609,F003D9FE1100,1008,-295,17,
26/05/2019 14:48:40.360,819,AM1V340 @374730,50615,FE033BFF5A00,1022,-197,90,
26/05/2019 14:48:40.398,857,AM1V340 @374730,50621,F00346FF8800,1008,-186,136,
26/05/2019 14:48:40.454,913,AM1V340 @374730,50627,D403AFFFD8FF,980,-81,-40,
26/05/2019 14:48:40.530,989,AM1V340 @374730,50634,BC033000FCFE,956,48,-260,
26/05/2019 14:48:40.550,1009,AM1V340 @374730,50640,9C030F01E3FD,924,271,-541,
26/05/2019 14:48:40.604,1063,AM1V340 @374730,50646,A303BE0154FD,931,446,-684,
26/05/2019 14:48:40.661,1120,AM1V340 @374730,50652,A7037201ECFD,935,370,-532,
26/05/2019 14:48:40.718,1177,AM1V340 @374730,50659,95037D0139FE,917,381,-455,
26/05/2019 14:48:40.755,1214,AM1V340 @374730,50665,A803A3002AFF,936,163,-214,
26/05/2019 14:48:40.814,1272,AM1V340 @374730,50671,B3033400CCFF,947,52,-52,
26/05/2019 14:48:40.848,1307,AM1V340 @374730,50677,C8036F003E01,968,111,318,
26/05/2019 14:48:40.905,1364,AM1V340 @374730,50684,02047B009F02,1026,123,671,
26/05/2019 14:48:40.961,1420,AM1V340 @374730,50690,FD038E009002,1021,142,656,
26/05/2019 14:48:40.998,1457,AM1V340 @374730,50696,F303DDFF6A01,1011,-35,362,
26/05/2019 14:48:41.054,1513,AM1V340 @374730,50702,DC030700B200,988,7,178,
26/05/2019 14:48:41.130,1589,AM1V340 @374730,50709,B603A7FFBDFF,950,-89,-67,
26/05/2019 14:48:41.150,1609,AM1V340 @374730,50715,B1038000CFFE,945,128,-305,
26/05/2019 14:48:41.204,1663,AM1V340 @374730,50721,B803B700F2FD,952,183,-526,
26/05/2019 14:48:41.260,1719,AM1V340 @374730,50727,AA039E0191FD,938,414,-623,
26/05/2019 14:48:41.298,1757,AM1V340 @374730,50734,B903030100FE,953,259,-512,
26/05/2019 14:48:41.354,1813,AM1V340 @374730,50740,AA0319017EFE,938,281,-386,
